Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language,Image
2nd Jun 2023,https://www.vishvasnews.com/ai-check/fact-check-artificially-generated-photo-of-elon-musk-in-moroccos-chefchaouen-goes-viral-as-real/,"Fact Check: मोरक्को की ‘ब्लू सिटी’ में नजर आ रहे एलन मस्क की यह तस्वीर असल नहीं, AI जनरेटेड है",https://www.facebook.com/photo/?fbid=568500412033530&set=a.308800024670238,Transmorocco,एलन मस्क मोरक्को में यात्रा कर रहे हैं,AI generated image,Elon Musk,Hindi,
19th Sep 2023,https://www.vishvasnews.com/ai-check/fact-check-pm-modi-and-usa-president-joe-biden-ai-image-viral-after-g20-summit-2023/,Fact Check: पीएम मोदी और अमेरिकी राष्ट्रपति जो बाइडेन की वायरल तस्वीरें AI निर्मित हैं,https://www.facebook.com/groups/740544566322820/posts/2071667653210498,FB User- सतीश चंद्र सक्सेना,पीएम मोदी और अमेरिकी राष्ट्रपति कुर्ता-पायजामा पहनकर टहल रहे हैं।,PM ans USA President,"Narendra Modi, Joe Biden ",Hindi,
19th Sep 2023,https://www.vishvasnews.com/ai-check/fact-check-pm-modi-and-usa-president-joe-biden-ai-image-viral-after-g20-summit-2023/,Fact Check: पीएम मोदी और अमेरिकी राष्ट्रपति जो बाइडेन की वायरल तस्वीरें AI निर्मित हैं,https://www.facebook.com/groups/740544566322820/posts/2071667653210498,FB User- सतीश चंद्र सक्सेना,पीएम मोदी और अमेरिकी राष्ट्रपति कुर्ता-पायजामा पहनकर टहल रहे हैं।,Pm Modi and Joe Biden,Pm Modi and Joe Biden,Hindi,
14th Jun 2023,https://www.vishvasnews.com/assamese/world/fact-check-post-claiming-mia-khalifa-gave-lecture-in-pakistans-shah-latif-university-is-fake/,"Fact Check: মিয়া খলিফায় পাকিস্তানৰ বিশ্ববিদ্যালয়ত বক্তৃতা দিয়া নাই, ছবিখন অক্সফ’ৰ্ডৰ",https://www.facebook.com/photo?fbid=1007324297294773&set=a.108880957139116,এফবি ব্যৱহাৰকাৰী : ناد حسین,পৰ্যবেক্ষণ: মিয়া খলিফায় শাহ লতীফ বিশ্ববিদ্যলয়ত বক্তৃতা দিলে,Mia Khaleefa attending lecture in Pakistan\'s university,Mia Khaleefa,Hindi,
4th Aug 2023,https://www.vishvasnews.com/education/fact-check-uppsc-pcs-j-2018-result-candidate-list-viral-with-misleading-claim/,Fact Check: UPPSC के पीसीएस-जे 2018 के सफल अभ्‍यर्थियों की अधूरी लिस्‍ट भ्रामक दावे से वायरल,https://www.facebook.com/permalink.php?story_fbid=pfbid02d9NgMExkGFq2ytvL6Td7qyPVt9CqTg9khCBYbhZTE4qz7VRKUrAmp5wVhH4r3JUTl&id=100040231610811,FB User- Ankit Paswan,"यह UPPSC के पीसीएस-जे का रिजल्ट है, जिसमें जनरल वर्ग के परीक्षार्थियों के नाम हैं।",UPPCS PCS J Result,Akanksha Tiwari,Hindi,
4th Aug 2023,https://www.vishvasnews.com/education/fact-check-uppsc-pcs-j-2018-result-candidate-list-viral-with-misleading-claim/,Fact Check: UPPSC के पीसीएस-जे 2018 के सफल अभ्‍यर्थियों की अधूरी लिस्‍ट भ्रामक दावे से वायरल,https://www.facebook.com/permalink.php?story_fbid=pfbid02d9NgMExkGFq2ytvL6Td7qyPVt9CqTg9khCBYbhZTE4qz7VRKUrAmp5wVhH4r3JUTl&id=100040231610811,FB User- Ankit Paswan,"यह UPPSC के पीसीएस-जे का रिजल्ट है, जिसमें जनरल वर्ग के परीक्षार्थियों के नाम हैं।",UPPCS PCS J Result,NA,Hindi,
10th Oct 2023,https://www.vishvasnews.com/english/ai-check/fact-check-rahul-gandhis-ai-generated-picture-shared-with-misleading-claim/,Fact Check: Rahul Gandhi’s AI-Generated Picture Shared With Misleading Claim,https://twitter.com/Ak29122000/status/1707009151883485358,X User- Aman Khan,Rahul Gandhi\'s photo taken on Goa beach by Australian tourist,NA,Rahul Gandhi,English,
10th Oct 2023,https://www.vishvasnews.com/english/ai-check/fact-check-rahul-gandhis-ai-generated-picture-shared-with-misleading-claim/,Fact Check: Rahul Gandhi’s AI-Generated Picture Shared With Misleading Claim,https://twitter.com/Ak29122000/status/1707009151883485358,X User- Aman Khan,Rahul Gandhi\'s photo taken on Goa beach by Australian tourist,NA,Rahul Gandhi,English ,
11th Sep 2023,https://www.vishvasnews.com/english/ai-check/fact-check-this-video-claiming-to-show-mukesh-ambani-is-a-deepfake/,Fact Check: This Video Claiming To Show Mukesh Ambani Is A Deepfake,https://www.facebook.com/100093643596829/posts/998429268065608/,Facebook user ‘Sona Super,Mukesh Ambani endorsed an investment scheme,An important statement from India’s richest man.,Facebook user named ‘Sona Super’ (,English,
11th Sep 2023,https://www.vishvasnews.com/english/ai-check/fact-check-this-video-claiming-to-show-mukesh-ambani-is-a-deepfake/,Fact Check: This Video Claiming To Show Mukesh Ambani Is A Deepfake,https://www.facebook.com/100093643596829/posts/998429268065608/,Facebook user ‘Sona Super,Mukesh Ambani endorsed an investment scheme,An important statement from India’s richest man.,Facebook user named ‘Sona Super’ (,English ,
31st Jul 2023,https://www.vishvasnews.com/english/business/fact-check-viral-post-claiming-bank-notes-with-star-symbol-are-fake-is-false/,Fact Check: Viral Post Claiming Bank Notes With Star Symbol Are Fake Is False,https://www.facebook.com/permalink.php?story_fbid=pfbid0259ZZ8V5JQWFVTbKEtUx5TJHCXv2dvizUxWp6ggBPaYJeHLq11QnP2yo6nezJtSuCl&id=100095085430116,FB user 'Ramchandra Rajpurohit',500 rupee notes with star or * mark are fake.,Bank Note,NA,English ,
7th Jul 2023,https://www.vishvasnews.com/english/entertainment/fact-check-edited-video-of-tv-actor-uorfi-javed-visiting-bageshwar-dham-going-viral-with-false-claim/,Fact-Check: Edited Video Of TV Actor Uorfi Javed Visiting Bageshwar Dham Going Viral With False Claim,https://www.facebook.com/100009121442228/videos/1219325635422860,Facebook User Govind Gupta,Uorfi Javed visited Bageshwar Dham,Bageshwar Dham,Urfi Javed,English,
7th Jul 2023,https://www.vishvasnews.com/english/entertainment/fact-check-edited-video-of-tv-actor-uorfi-javed-visiting-bageshwar-dham-going-viral-with-false-claim/,Fact-Check: Edited Video Of TV Actor Uorfi Javed Visiting Bageshwar Dham Going Viral With False Claim,https://www.facebook.com/100009121442228/videos/1219325635422860,Facebook User Govind Gupta,Uorfi Javed visited Bageshwar Dham,Bageshwar Dham,Urfi Javed,English ,
21st Aug 2023,https://www.vishvasnews.com/english/entertainment/fact-check-pakistan-zindabad-slogans-were-not-raised-during-gadar-2-show-in-bareilly-cinema-hall-viral-claim-fake/,Fact Check: ‘Pakistan Zindabad’ Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake,https://twitter.com/Starboy2079/status/1691020685919842306,Facebook user 'Hindu Jayant Rajak',Muslims raised slogans of Pakistan Zindabad during the Gadar 2 show,Pakistan Zindabad Slogans,NA,English,
21st Aug 2023,https://www.vishvasnews.com/english/entertainment/fact-check-pakistan-zindabad-slogans-were-not-raised-during-gadar-2-show-in-bareilly-cinema-hall-viral-claim-fake/,Fact Check: ‘Pakistan Zindabad’ Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake,https://twitter.com/Starboy2079/status/1691020685919842306,Facebook user 'Hindu Jayant Rajak',Muslims raised slogans of Pakistan Zindabad during the Gadar 2 show,Pakistan Zindabad Slogans,Sunny Deol,English ,
21st Aug 2023,https://www.vishvasnews.com/english/entertainment/fact-check-pakistan-zindabad-slogans-were-not-raised-during-gadar-2-show-in-bareilly-cinema-hall-viral-claim-fake/,Fact Check: ‘Pakistan Zindabad’ Slogans Were Not Raised During Gadar 2 Show In Bareilly Cinema Hall; Viral Claim Fake,https://twitter.com/Starboy2079/status/1691020685919842306,Facebook user 'Hindu Jayant Rajak',Muslims raised slogans of Pakistan Zindabad during the Gadar 2 show,Pakistan Zindabad Slogans,NA,English ,
