Author,Story Date,Story URL,Headline,Claim URL,Claimed By,What (Claim),About Subject,About Person,Language
Urvashi Kapoor,27th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-video-claiming-eating-bitter-guard-or-radish-over-ladyfinger-is-harmful-is-fake-as-per-doctors/,Fact Check: Video claiming eating bitter guard or radish over ladyfinger is harmful is fake as per doctors,https://archive.md/HeVAk,FB user: Krishna Pratap Singh,eating bitter guard or radish over ladyfinger is harmful,"bitter gourd, radish, lady finger",vegetable consumers,English 
Urvashi Kapoor,26th Dec 2019,https://www.vishvasnews.com/english/viral/fact-check-video-showing-blue-colored-apple-made-in-china-is-fake/,Fact Check: Video showing blue-colored apple made in China is fake,https://www.instagram.com/p/B6EOQlClEUH/,Instagram user: infozetx,The blue apple in China,Blue apple,China,English 
Urvashi Kapoor,24th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-combiflam-can-kill-you-is-misleading/,Fact Check: Post claiming Combiflam can kill you is fake,https://www.facebook.com/photo.php?fbid=630783567369657&set=a.181662292281789&type=3&theater,FB User: Goney William,कॉम्बिफ्लेम की एक गोली आपकी जान भी ले सकती है,Combiflam side effects,Patients,English 
Pallavi Mishra,23rd Dec 2019,https://www.vishvasnews.com/english/politics/fact-check-video-of-man-throwing-stone-at-a-bus-is-old-and-is-from-surat-no-relation-with-caa-protests/,"Fact Check: Video of man throwing stone at a bus is old and is from Surat, no relation with CAA protests",http://archive.md/wip/RZsoq,Anurag Sharma,"Delhi Police is maligning the esteemed Juman uncle, damaging government property in his disguise”. Another claim is “Juman Chacha giving his invaluable contribution to the progress of the country",CAA protest,CAA NRC Protesters,English 
Urvashi Kapoor,23rd Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-tongue-exercise-cures-alzheimers-and-other-illnesses-is-misleading/,Fact Check: Post claiming tongue exercise cures Alzheimer’s and other illnesses is misleading,NA,FB User: BK Punjab,जीभ की एक्सरसाइज (जीभ बाहर निकालना और इसे 10 मिनट तक दाएं से बाएं घुमाना) आपको अल्जाइमर से बचा सकती है,Alzhiemers ,Patients,English 
Urvashi Kapoor,20th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-giving-birth-cant-be-measured-in-del-pain-is-subjective-fake-post-getting-viral/,"Fact Check: Giving birth can’t be measured in del, pain is subjective, fake post getting viral",NA,Fernand Allequer Lomuntad,A human body can bear only up to 45 DEL (unit) of pain.,Pregnancy,Pregnant women,English 
Urvashi Kapoor,19th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-wild-aubergine-can-cure-any-type-of-cancer-is-fake/,Fact Check: Post claiming wild aubergine can cure any type of cancer is fake,NA,FB User: Gbenga Fasole GSc,wild aubergine can cure any type of cancer,Cancer treatment,Patients,English 
Pallavi Mishra,17th Dec 2019,https://www.vishvasnews.com/english/politics/fact-check-pictures-from-abroad-are-being-shared-as-assam-detention-centers/,Fact Check: Pictures From Abroad Are Being Shared As Assam Detention Centers,http://archive.md/DdAmi,Jamshed Wahab,"If it is acceptable for you to live under such circumstances, then you are bound to remain silent. A picture of Detention Center of Assam",Assam detention centers,NRC CAA,English 
Urvashi Kapoor,14th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-does-the-5-second-rule-really-exist-it-is-a-myth/,"Fact Check: Does the 5-second rule really exist? No, it is a myth",NA,"FB Page: Dave, Ken, and Molly on 92.9 ZZU","5 Second rule confirmed: if we drop this food on the floor, you can eat it",Dropped food,Consumers,English 
Urvashi Kapoor,13th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-the-post-claiming-that-baking-soda-can-cure-cancer-is-fake/,Fact Check: The post claiming that baking soda can cure cancer is fake,NA,"FB Page: From the Heart of me, Another Mother",baking soda can cure cancer,Cancer treatment,Patients,English 
Urvashi Kapoor,13th Dec 2019,https://www.vishvasnews.com/english/health/quick-fact-check-misleading-post-claiming-sprouted-wheat-can-cure-diabetes-resurfaces/,Quick Fact Check: Misleading Post Claiming Sprouted Wheat Can Cure Diabetes Resurfaces,NA,FB User: Anita Kapoor,Sprouted Wheat Can Cure Diabetes ,Sprouts for diabetes treatment,Patients,English 
Urvashi Kapoor,12th Dec 2019,https://www.vishvasnews.com/english/viral/fact-check-post-showing-blue-colored-fruit-named-moon-melon-is-fake-there-is-no-such-fruit/,"Fact Check: Post showing blue-colored fruit named Moon melon is fake, there is no such fruit",NA,FB User: Russell Dean Anderson,Bue-colored fruit named Moon melon in Japan,Blue-colored fruit,Japan,English 
Urvashi Kapoor,10th Dec 2019,https://www.vishvasnews.com/english/viral/fact-check-fake-post-on-hiv-infected-blood-in-pepsi-going-viral/,Fact Check: Fake post on HIV-infected blood in Pepsi getting viral,NA,FB User: Sanghul Del Unice Aisea-Passi,HIV-infected blood in Pepsi,Pepsi,Consumers,English 
Urvashi Kapoor,9th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-a-smoothie-can-cure-diabetes-is-misleading/,Fact Check: Post claiming that a smoothie can cure diabetes is misleading,NA,FB Page: DEMIC,"2 bananas, 5 kiwis, 2 apples with skin, 1 coat of cabbage, and 1/2 liter of water can cure diabetes",Smoothie as diabetes treatment,Patients,English 
Urvashi Kapoor,6th Dec 2019,https://www.vishvasnews.com/english/health/fact-check-post-claiming-that-burning-camphor-and-inhaling-the-smell-combats-air-pollution-is-misleading/,Fact Check: Post claiming that burning camphor and inhaling the smell combats air pollution is misleading,NA,Twitter User: Sadhavi Khosla,burning camphor and inhaling the smell combats air pollution,Camphor smell for air pollution,Common man,English 
